time_boot_ms,C,SV,SP,SH,SM,SVT,errRP,OFN,OFE,FS,TS,SS,GPS,PI
6135.644,1,0,0,0,0,0,0,0,0,128,0,0,0,0
6176.295,1,0,0,0,0,0,0,0,0,128,0,0,0,0
6216.229,1,0,0,0,0,0,0,0,0,128,0,0,0,0
6256.246,1,0,0,0,0,0,0,0,0,128,0,0,0,0
6296.245,1,0,0,0,0,0,0,0,0,128,0,0,0,0
6336.284,1,0,0,0,0,0,0,0,0,128,0,0,0,0
6376.296,1,0,0,0,0,0,0,0,0,128,0,0,0,0
6416.281,1,0,0,0,0,0,0,0,0,128,0,0,0,0
6456.218,1,0,0,0,0,0,0,0,0,128,0,0,0,0
6496.251,1,0,0,0,0,0,0,0,0,128,0,0,0,0
6536.253,1,0,0,0,0,0,0,0,0,128,0,0,0,0
6576.293,1,0,0,0,0,0,0,0,0,128,0,0,0,0
6616.278,1,0,0,0,0,0,0,0,0,128,0,0,0,0
6656.252,1,0,0,0,0,0,0,0,0,128,0,0,0,0
6696.221,1,0,0,0,0,0,0,0,0,128,0,0,0,0
6736.28,1,0,0,0,0,0,0,0,0,128,0,0,0,0
6776.274,1,0,0,0,0,0,0,0,0,128,0,0,0,0
6816.296,1,0,0,0,0,0,0,0,0,128,0,0,0,0
6856.29,1,0,0,0,0,0,0,0,0,128,0,0,0,0
6896.253,1,0,0,0,0,0,0,0,0,128,0,0,0,0
6936.26,1,0,0,0,0,0,0,0,0,128,0,0,0,0
6976.241,1,0,0,0,0,0,0,0,0,128,0,0,0,0
7016.307,1,0,0,0,0,0,0,0,0,128,0,0,0,0
7056.295,1,0,0,0,0,0,0,0,0,128,0,0,0,0
7096.273,1,0,0,0,0,0,0,0,0,128,0,0,0,0
7136.223,1,0,0,0,0,0,0,0,0,128,0,0,0,0
7176.257,1,0,0,0,0,0,0,0,0,128,0,0,0,0
7216.259,1,0,0,0,0,0,0,0,0,128,0,0,0,0
7256.272,1,0,0,0,0,0,0,0,0,128,0,0,0,0
7296.292,1,0,0,0,0,0,0,0,0,128,0,0,0,0
7336.27,1,0,0,0,0,0,0,0,0,128,0,0,0,0
7376.219,1,0,0,0,0,0,0,0,0,128,0,0,0,0
7416.26,1,0,0,0,0,0,0,0,0,128,0,0,0,0
7456.218,1,0,0,0,0,0,0,0,0,128,0,0,0,0
7496.274,1,0,0,0,0,0,0,0,0,128,0,0,0,0
7536.317,1,0,0,0,0,0,0,0,0,128,0,0,0,0
7576.282,1,0,0,0,0,0,0,0,0,128,0,0,0,0
7616.226,1,0,0,0,0,0,0,0,0,128,0,0,0,0
7656.253,1,0,0,0,0,0,0,0,0,128,0,0,0,0
7696.28,1,0,0,0,0,0,0,0,0,128,0,0,0,0
7736.272,1,0,0,0,0,0,0,0,0,128,0,0,0,0
7776.294,1,0,0,0,0,0,0,0,0,128,0,0,0,0
7816.235,1,0,0,0,0,0,0,0,0,128,0,0,0,0
7856.243,1,0,0,0,0,0,0,0,0,128,0,0,0,0
7896.248,1,0,0,0,0,0,0,0,0,128,0,0,0,0
7936.279,1,0,0,0,0,0,0,0,0,128,0,0,0,0
7976.291,1,0,0,0,0,0,0,0,0,128,0,0,0,0
8016.279,1,0,0,0,0,0,0,0,0,128,0,0,0,0
8056.211,1,0,0,0,0,0,0,0,0,128,0,0,0,0
8096.246,1,0,0,0,0,0,0,0,0,128,0,0,0,0
8136.251,1,0,0,0,0,0,0,0,0,128,0,0,0,0
8176.276,1,0,0,0,0,0,0,0,0,128,0,0,0,0
8216.254,1,0,0,0,0,0,0,0,0,128,0,0,0,0
8256.271,1,0,0,0,0,0,0,0,0,128,0,0,0,0
8296.22,1,0,0,0,0,0,0,0,0,128,0,0,0,0
8336.275,1,0,0,0,0,0,0,0,0,128,0,0,0,0
8376.278,1,0,0,0,0,0,0,0,0,128,0,0,0,0
8416.268,1,0,0,0,0,0,0,0,0,128,0,0,0,0
8456.287,1,0,0,0,0,0,0,0,0,128,0,0,0,0
8496.257,1,0,0,0,0,0,0,0,0,128,0,0,0,0
8536.231,1,0,0,0,0,0,0,0,0,128,0,0,0,0
8576.256,1,0,0,0,0,0,0,0,0,128,0,0,0,0
8616.274,1,0,0,0,0,0,0,0,0,128,0,0,0,0
8656.266,1,0,0,0,0,0,0,0,0,128,0,0,0,0
8696.303,1,0,0,0,0,0,0,0,0,128,0,0,0,0
8736.227,1,0,0,0,0,0,0,0,0,128,0,0,0,0
8776.247,1,0,0,0,0,0,0,0,0,128,0,0,0,0
8816.278,1,0,0,0,0,0,0,0,0,128,0,0,0,0
8856.27,1,0,0,0,0,0,0,0,0,128,0,0,0,0
8896.315,1,0,0,0,0,0,0,0,0,128,0,0,0,0
8936.295,1,0,0,0,0,0,0,0,0,128,0,0,0,0
8976.221,1,0,0,0,0,0,0,0,0,128,0,0,0,0
9016.254,1,0,0,0,0,0,0,0,0,128,0,0,0,0
9056.239,1,0,0,0,0,0,0,0,0,128,0,0,0,0
9096.292,1,0,0,0,0,0,0,0,0,128,0,0,0,0
9136.285,1,0,0,0,0,0,0,0,0,128,0,0,0,0
9176.267,1,0,0,0,0,0,0,0,0,128,0,0,0,0
9216.216,1,0,0,0,0,0,0,0,0,128,0,0,0,0
9256.244,1,0,0,0,0,0,0,0,0,128,0,0,0,0
9296.28,1,0,0,0,0,0,0,0,0,128,0,0,0,0
9336.283,1,0,0,0,0,0,0,0,0,128,0,0,0,0
9376.302,1,0,0,0,0,0,0,0,0,128,0,0,0,0
9416.262,1,0,0,0,0,0,0,0,0,128,0,0,0,0
9456.259,1,0,0,0,0,0,0,0,0,128,0,0,0,0
9496.257,1,0,0,0,0,0,0,0,0,128,0,0,0,0
9536.28,1,0,0,0,0,0,0,0,0,128,0,0,0,0
9576.299,1,0,0,0,0,0,0,0,0,128,0,0,0,0
9616.283,1,0,0,0,0,0,0,0,0,128,0,0,0,0
9656.228,1,0,0,0,0,0,0,0,0,128,0,0,0,0
9696.252,1,0,0,0,0,0,0,0,0,128,0,0,0,0
9736.251,1,0,0,0,0,0,0,0,0,128,0,0,0,0
9776.275,1,0,0,0,0,0,0,0,0,128,0,0,0,0
9816.314,1,0,0,0,0,0,0,0,0,128,0,0,0,0
9856.269,1,0,0,0,0,0,0,0,0,128,0,0,0,0
9896.221,1,0,0,0,0,0,0,0,0,128,0,0,0,0
