time_boot_ms,C,Q1,Q2,Q3,Q4
6135.644,2,1,0,0,0
6176.295,2,1,0,0,0
6216.229,2,1,0,0,0
6256.246,2,1,0,0,0
6296.245,2,1,0,0,0
6336.284,2,1,0,0,0
6376.296,2,1,0,0,0
6416.281,2,1,0,0,0
6456.218,2,1,0,0,0
6496.251,2,1,0,0,0
6536.253,2,1,0,0,0
6576.293,2,1,0,0,0
6616.278,2,1,0,0,0
6656.252,2,1,0,0,0
6696.221,2,1,0,0,0
6736.28,2,1,0,0,0
6776.274,2,1,0,0,0
6816.296,2,1,0,0,0
6856.29,2,1,0,0,0
6896.253,2,1,0,0,0
6936.26,2,1,0,0,0
6976.241,2,1,0,0,0
7016.307,2,1,0,0,0
7056.295,2,1,0,0,0
7096.273,2,1,0,0,0
7136.223,2,1,0,0,0
7176.257,2,1,0,0,0
7216.259,2,1,0,0,0
7256.272,2,1,0,0,0
7296.292,2,1,0,0,0
7336.27,2,1,0,0,0
7376.219,2,1,0,0,0
7416.26,2,1,0,0,0
7456.218,2,1,0,0,0
7496.274,2,1,0,0,0
7536.317,2,1,0,0,0
7576.282,2,1,0,0,0
7616.226,2,1,0,0,0
7656.253,2,1,0,0,0
7696.28,2,1,0,0,0
7736.272,2,1,0,0,0
7776.294,2,1,0,0,0
7816.235,2,1,0,0,0
7856.243,2,1,0,0,0
7896.248,2,1,0,0,0
7936.279,2,1,0,0,0
7976.291,2,1,0,0,0
8016.279,2,1,0,0,0
8056.211,2,1,0,0,0
8096.246,2,1,0,0,0
8136.251,2,1,0,0,0
8176.276,2,1,0,0,0
8216.254,2,1,0,0,0
8256.271,2,1,0,0,0
8296.22,2,1,0,0,0
8336.275,2,1,0,0,0
8376.278,2,1,0,0,0
8416.268,2,1,0,0,0
8456.287,2,1,0,0,0
8496.257,2,1,0,0,0
8536.231,2,1,0,0,0
8576.256,2,1,0,0,0
8616.274,2,1,0,0,0
8656.266,2,1,0,0,0
8696.303,2,1,0,0,0
8736.227,2,1,0,0,0
8776.247,2,1,0,0,0
8816.278,2,1,0,0,0
8856.27,2,1,0,0,0
8896.315,2,1,0,0,0
8936.295,2,1,0,0,0
